id,title,description,admission_requirements,recommended_skills,entrance_exams,language_requirements
736,Uncrewed Systems,"Uncrewed Systems focuses on the design, operation, and integration of systems that function without onboard human presence, including drones, robotic platforms, and remote sensing systems. Students learn control systems, sensors, communication, embedded systems, and system integration to operate and manage uncrewed technologies. The field suits individuals who are analytical, tech-oriented, and interested in robotics, automation, and advanced engineering systems.",,,,
735,Uncrewed and Autonomous Systems Engineering,"Uncrewed and Autonomous Systems Engineering focuses on designing, developing, and integrating autonomous technologies such as drones, robotic systems, and self-operating vehicles. Students learn control systems, robotics, artificial intelligence, embedded systems, sensors, and system integration to build intelligent systems that operate with minimal human intervention. The field suits individuals who are analytical, tech-oriented, and interested in robotics, automation, and advanced engineering systems.",,,,
734,Uncrewed Aircraft Systems,"Uncrewed Aircraft Systems focuses on the design, operation, and management of drones and remotely piloted aircraft. Students learn aerodynamics, flight control systems, navigation, sensors, communication systems, and aviation regulations to develop and operate unmanned aerial platforms. The field suits individuals who are technically oriented, detail-focused, and interested in aviation, robotics, and autonomous flight technologies.",,,,
733,Uncrewed & Autonomous Systems,"Uncrewed & Autonomous Systems focuses on the design, development, and operation of systems that function without direct human control, such as drones, autonomous vehicles, and robotic platforms. Students learn robotics, control systems, artificial intelligence, sensors, embedded systems, and navigation to build and manage autonomous technologies. The field suits individuals who are analytical, tech-oriented, and interested in robotics, automation, and intelligent systems.",,,,
732,Systems Engineering,"Systems Engineering focuses on designing, integrating, and managing complex systems across their entire lifecycle. Students learn systems thinking, modeling, optimization, project management, and interdisciplinary integration to ensure all components of a system work effectively together. The field suits individuals who are analytical, detail-oriented, and interested in solving complex problems by coordinating technical and organizational elements.",,,,
731,Space Systems,"Space Systems focuses on the design, integration, and operation of spacecraft, satellites, and related technologies. Students learn systems engineering, spacecraft design, control systems, embedded systems, and mission integration to develop and manage complex space technologies. The field suits individuals who are analytical, technically skilled, and interested in engineering systems for space exploration and satellite operations.",,,,
730,Space Physics,"Space Physics focuses on studying physical processes in space, including solar activity, planetary magnetospheres, cosmic radiation, and interactions between the Sun and Earth. Students learn physics, electromagnetism, plasma physics, and data analysis to understand space environments and their impact on satellites and communication systems. The field suits individuals who are analytical, research-oriented, and interested in astrophysics, space science, and fundamental physical phenomena.",,,,
729,Space Operations,"Space Operations focuses on the planning, control, and management of space missions, satellites, and ground systems. Students learn orbital mechanics, spacecraft systems, mission planning, space environment, and data analysis to operate and support space missions. The field suits individuals who are analytical, technically skilled, and interested in space technology, mission control, and aerospace operations.",,,,
728,Software Engineering,"Software Engineering focuses on designing, developing, testing, and maintaining software systems using structured engineering principles. Students learn programming, software architecture, algorithms, databases, and system design to build reliable and scalable applications. The field suits individuals who are logical, detail-oriented, and interested in technology, problem-solving, and creating software solutions.",,,,
727,"Simulation Science, Games and Animation","Simulation Science, Games and Animation focuses on designing interactive digital environments, simulations, and visual experiences using technology and creative storytelling. Students learn programming, computer graphics, game design, animation, physics simulation, and user interaction to develop games, virtual simulations, and immersive media. The field suits individuals who are creative, tech-oriented, and interested in combining design, storytelling, and technology.",,,,
