id,name,location,description,slug,sponsored,website,global_rank,financials,student_loan_available,campus_student_life,number_of_students,student_to_faculty_ratio,international_student_ratio,housing_availability,admissions_contact,admissions_phone,contact_person,admissions_page_link,immigration_support,university_campuses,data_quality_score,confidence_notes
1,"An Giang University, Vietnam",704,"Established in 1999, An Giang University (AGU) serves as a pivotal higher education institution in the Mekong Delta and is a member of the Vietnam National University Ho Chi Minh City system. Located at 84 Tran Van On, My Xuyen, Long Xuyen City, An Giang Province, the university offers a diverse range of undergraduate and postgraduate programs across faculties of Agriculture, Pedagogy, Economics, Law, and Foreign Languages. AGU is highly regarded for its contributions to regional agricultural research and teacher training, holding various national accreditations for its academic quality. The institution is unique for its strategic role in developing the socio-economic landscape of the border regions of Southern Vietnam.",an-giang-university,0,http://www.agu.edu.vn,,"VND 12tr-30tr ($500-$1,200)",1,"The university features a blend of traditional and modern facilities across its campuses in Long Xuyen and Chau Doc, providing students with a serene learning environment integrated with the natural beauty of the Mekong Delta. Students have access to specialized agricultural research plots, comprehensive libraries, and multimedia classrooms that support interactive learning. The campus atmosphere is vibrant, characterized by active student unions, diverse sports clubs, and on-campus dormitories that foster a close-knit community. From bustling canteens to quiet study gardens, AGU offers a holistic ecosystem that balances academic rigor with cultural and social engagement.",12000,20,1,1,tuyensinh@agu.edu.vn,+842963852111,,http://www.agu.edu.vn/tuyensinh,0,2,55,financials=estimated; number_of_students=estimated; student_to_faculty_ratio=estimated
2,"Ho Chi Minh City University of Technology, Vietnam",704,"Established in 2000, Ho Chi Minh City University of Technology (HUTECH) has evolved into one of the leading private multidisciplinary universities in Southern Vietnam. The institution is primarily located at 475a Dien Bien Phu Street, Ward 25, Binh Thanh District, Ho Chi Minh City, featuring a modern urban campus. HUTECH offers a comprehensive range of undergraduate and postgraduate degrees across faculties including Engineering, Information Technology, Economics, Law, and Health Sciences. The university is highly regarded for its strong industry partnerships and a curriculum focused on practical, application-based learning. It is distinguished by its commitment to innovation and its ability to rapidly adapt programs to meet the demands of the global labor market.",ho-chi-minh-city-university-of-technology,0,http://www.hutech.edu.vn,,"VND 40tr-80tr ($1,600-$3,200)",1,"The HUTECH campus is a vibrant hub of activity in the heart of Ho Chi Minh City, characterized by sleek, modern architecture and high-tech learning spaces. Students have access to advanced computer laboratories, specialized engineering workshops, and a comprehensive digital library that fosters academic excellence. Beyond the classroom, the university boasts a high-energy atmosphere with dozens of student-led clubs, frequent cultural festivals, and modern sports facilities. The integration of cozy student lounges and bustling cafeterias creates a social ecosystem where creativity and professional networking thrive, making the campus a dynamic environment for personal growth.",30000,20,2,1,tuyensinh@hutech.edu.vn,+842873007272,,http://www.hutech.edu.vn/tuyensinh,1,2,46,financials=estimated; number_of_students=estimated; student_to_faculty_ratio=estimated; description=estimated
3,"University of Information Technology, Vietnam",704,"Established on June 8, 2006, under the Vietnam National University system in Ho Chi Minh City, the University of Information Technology (UIT) is a premier public institution specializing in ICT. Located within the VNU-HCM urban area in Thu Duc City, the campus spans over 14 hectares of modern facilities. The university offers 12 undergraduate majors, including Artificial Intelligence, Data Science, and IC Design, alongside various Master's and Doctoral programs. UIT is distinguished by its international quality standards, with 12 programs accredited by ASIIN and a strong focus on high-tech STEM human resource development. Its unique strength lies in its deep industry integration and research-driven approach, boasting a 100% graduate employment rate.",university-of-information-technology,0,http://www.uit.edu.vn,,"VND 30tr-60tr ($1,200-$2,400)",0,"The UIT campus is a technology-centric hub located in the VNU-HCM urban area, featuring a sprawling 14-hectare environment designed for innovation. Students have access to state-of-the-art lecture halls, such as Hall E, and specialized research labs focusing on AI, IoT, and cybersecurity. The atmosphere is vibrant and professional, characterized by frequent industry talk shows, 'Open Day' events with international partners like Newcastle University, and strong corporate ties with giants like NVIDIA and Vingroup. Beyond academics, the campus fosters a dynamic community through active student unions and clubs, ensuring a holistic experience where technical expertise is balanced with social responsibility.",0,0,0,1,,,,,1,1,40,number_of_students=not_found; student_to_faculty_ratio=not_found; admissions_page_link=not_found
4,"University of Economics and Law, Vietnam",704,"Established approximately 25 years ago as a member of the Vietnam National University Ho Chi Minh City (VNU-HCM), the University of Economics and Law (UEL) is a premier national institution. Located in Ho Chi Minh City, the university specializes in the intersection of economics, business, management, and law, integrating these fields with modern technology. UEL offers 35 diverse training programs across undergraduate, Master's, and Doctoral levels, aiming for high-prestige international accreditation standards. The institution is recognized globally, ranking in the TOP 601+ by Times Higher Education (THE). It is uniquely positioned as a strategic partner for government agencies and international organizations, producing high-quality human resources for Vietnam's digital transformation.",university-of-economics-and-law,0,http://www.uel.edu.vn,601,"VND 20tr-60tr ($800-$2,400)",0,"UEL boasts a modern and synchronized campus environment designed to foster academic excellence and personal growth. Students benefit from state-of-the-art facilities and a vibrant atmosphere that encourages international integration, as evidenced by the active presence and cultural exchange programs for students from Laos and Cambodia. The campus culture is characterized by a strong connection between academic theory and professional practice, supported by a network of over 500 partners and frequent corporate visits. With a philosophy of 'Creating Knowledge - Shaping the Future,' the university provides a dynamic ecosystem where students engage in research, professional development, and diverse student-led activities.",15000,35,2,1,,+842837244555,,,1,1,45,number_of_students=estimated; admissions_page_link=not_found; website=not_found
5,"International University, Vietnam",704,"Established in 2003 as a member of the Vietnam National University Ho Chi Minh City (VNU-HCM), International University (IU) is a pioneer in providing high-quality, English-medium higher education in Vietnam. Located in Linh Trung Ward, Thu Duc City, Ho Chi Minh City, the institution offers a diverse range of undergraduate and postgraduate degrees across faculties including Business Administration, Economics, Computer Science, and Biotechnology. IU is renowned for its international standards, strong industry partnerships, and a curriculum designed to meet global accreditation requirements. What makes IU unique is its commitment to an entirely English-taught environment, preparing students for seamless integration into the global workforce and academic research.",international-university-hcmc,0,http://www.hcmiu.edu.vn,,"VND 40tr-80tr ($1,600-$3,200)",0,"The campus in Thu Duc City is a modern hub of academic excellence, featuring state-of-the-art lecture halls, specialized laboratories for biotechnology and IT, and a comprehensive library with extensive digital resources. Students enjoy a dynamic atmosphere with numerous student-led clubs, sports facilities, and a vibrant cafeteria that serves as a social crossroads. The integration within the VNU-HCM ecosystem allows students access to broader university resources, while the on-campus dormitories provide a supportive living environment that fosters both academic rigor and personal growth.",8500,20,2,1,admissions@hcmiu.edu.vn,+842837244250,,http://www.hcmiu.edu.vn/admissions,1,1,55,financials=estimated; number_of_students=estimated; student_to_faculty_ratio=estimated
6,"University of Health Sciences, Vietnam National University, Vietnam",704,"Established as a member university of Vietnam National University, Hanoi, the University of Health Sciences (UHS) represents a strategic integration of medical training within a multidisciplinary research ecosystem. Located in the capital city of Hanoi, the institution offers comprehensive academic programs in Medicine, Pharmacy, Nursing, and Public Health across undergraduate, Master's, and Doctoral levels. The university is distinguished by its unique position within the VNU system, allowing for cross-disciplinary collaboration between healthcare and other scientific fields. UHS is dedicated to producing high-quality healthcare professionals through a curriculum that blends rigorous academic theory with intensive clinical practice at leading hospitals in the region.",university-of-health-sciences-vnu,0,http://www.uhsvnu.edu.vn/,,"VND 30tr-60tr ($1,200-$2,400)",1,"Students at UHS experience a dynamic academic environment that blends the specialized focus of a medical school with the vibrant, multidisciplinary atmosphere of Vietnam National University, Hanoi. The campus provides access to modern lecture halls, advanced simulation laboratories for clinical training, and the extensive digital and physical resources of the VNU library system. Beyond the classroom, students are active in medical student associations, community health outreach programs, and various sports clubs, all while benefiting from the urban energy of Hanoi and close proximity to the city's premier healthcare facilities.",2000,15,2,1,tuyensinh@uhsvnu.edu.vn,+842437547000,,http://www.uhsvnu.edu.vn/tuyen-sinh,1,1,33,financials=estimated; number_of_students=estimated; student_to_faculty_ratio=estimated; website=not_found; description=estimated
7,"University of Information and Communication Technology, Vietnam",704,"Established on December 14, 2001, as a faculty of Thai Nguyen University, the University of Information and Communication Technology (ICTU) was officially upgraded to a university on March 30, 2011. Located in Thai Nguyen Province, the institution offers a comprehensive array of programs across Information Technology, Digital Engineering, Digital Economics, and Digital Arts, including specialized tracks in AI, Semiconductor Circuits, and Electric Vehicle Technology in partnership with Vinfast. ICTU is distinguished by its commitment to the Fourth Industrial Revolution, recently achieving a prestigious double Sao Khuê 2025 award for its technological contributions. The university provides undergraduate and postgraduate degrees, focusing on creating a digital-first human resource pool to serve the national digital transformation strategy. Its unique approach blends academic rigor with practical application, aiming to be a leading applied university in Vietnam's higher education system.",university-of-information-and-communication-technology,0,http://www.ictu.edu.vn,,"VND 15tr-30tr ($600-$1,200)",0,"The ICTU campus is a hub of technological innovation and youthful energy, featuring a massive infrastructure expansion that has reached over 87,000 square meters of floor space. Students engage in a dynamic environment characterized by high-energy events like iFEST and 'OPEN STEAM DAY,' and have access to cutting-edge facilities including a specialized Digital Studio for cinema and digital arts. The integration of a proprietary AI Chatbot for learner support and strategic partnerships with organizations like VIRESA for Esports management create a modern, tech-centric ecosystem. This immersive atmosphere encourages entrepreneurship and creativity, blending rigorous academic study with practical, real-world application within a 'happy university' philosophy that nurtures global digital skills.",10000,20,2,1,,,,,0,1,66,admissions_page_link=not_found
8,"University of Science, Thai Nguyen University, Vietnam",704,"Established around 2006 as a member of the Thai Nguyen University system, the University of Science (TNUS) is a key regional institution located in Phan Dinh Phung Ward, Thai Nguyen City. The university offers a comprehensive array of undergraduate, Master's, and Doctoral programs across diverse faculties including Law, Tourism, Journalism and Communication, Natural Resources and Environment, Mathematics and Informatics, and Social Sciences and Humanities. As part of one of Vietnam's three national key regional universities, it benefits from a prestigious academic lineage, with the parent university ranking in the top 15-20 nationwide according to VNUR 2026. TNUS is currently transforming into a 'Smart Digital University,' integrating AI, Big Data, and interdisciplinary curricula to meet modern labor market demands. The institution is uniquely recognized for its strong 'School-Enterprise-Society' linkage model, ensuring high employability for its graduates.",university-of-science-thai-nguyen,0,https://tnus.edu.vn,,VND 14tr-17tr ($560-$680),0,"The campus in Thai Nguyen City provides a balanced ecosystem where a peaceful academic environment meets cutting-edge digital innovation. Students have access to modern dormitories, a comprehensive library, and a specialized Cyber Security Monitoring Center, alongside a high-tech infrastructure featuring the TNUS mobile app and VR360 virtual reality tools. The campus atmosphere is characterized by a strong drive toward digital transformation, supported by spacious lecture halls and dedicated research facilities. Located in a mid-sized city, the campus offers an affordable and immersive living experience, allowing students to focus on both technical mastery and personal growth within a supportive community.",0,0,0,1,contact@tnus.edu.vn,+84989821199,,https://tnus.edu.vn/tin-tuc/tin-tuc-chung/hoc-nganh-tai-nguyen-va-moi-truong-o-thai-nguyen-viec-lam-toan-quoc-la-lua-chon-thong-minh,0,1,40,number_of_students=not_found; student_to_faculty_ratio=not_found; website=not_found
9,"University of Economics and Business Administration, Vietnam",704,"As a key member of the Thai Nguyen University system, the University of Economics and Business Administration (TUEBA) is a leading institution for economic and managerial studies in Northern Vietnam. Located in Thai Nguyen City, the university provides a comprehensive academic environment focusing on the integration of theory and practice. TUEBA offers a diverse range of undergraduate and Master's degrees across faculties including Finance, Accounting, Marketing, Banking, Auditing, E-commerce, and Logistics. The institution is distinguished by its commitment to digital transformation, incorporating AI and digital marketing into its modern curriculum. It is particularly unique for its strong international cooperation, offering specialized programs for international students and facilitating professional internships in Taiwan.",university-of-economics-and-business-administration,0,http://www.tueba.edu.vn,,"VND 15tr-30tr ($600-$1,200)",0,"The campus is a dynamic hub of activity where academic rigor meets youthful energy, characterized by high-profile events such as the 'Dream Fest' and annual Entrepreneurship Days that bridge the gap between students and industry leaders. Students benefit from a modern digital library and specialized research centers that encourage a culture of reading and intellectual curiosity in the digital age. The university provides a supportive living environment with dedicated management for both residential and non-residential students, ensuring a balanced lifestyle. With a vibrant array of student clubs and strong corporate partnerships, TUEBA creates an immersive ecosystem that fosters both professional networking and personal growth.",8000,20,5,1,,,,,1,1,58,number_of_students=estimated; admissions_page_link=not_found
10,"Thai Nguyen University of Agriculture and Forestry, Vietnam",704,"Thai Nguyen University of Agriculture and Forestry (TUAF), a prominent member of Thai Nguyen University, is a leading institution dedicated to advancing agricultural and forestry sciences in Northern Vietnam. Situated in Thai Nguyen province, the university hosts specialized faculties including Agricultural Technology, Animal Husbandry and Veterinary Medicine, and Resource Management. The institution offers a diverse academic portfolio ranging from undergraduate Bachelor's degrees to advanced Master's and Doctoral programs, including flexible distance learning options. TUAF is distinguished by its robust international research collaborations with partners such as the Australian Centre for International Agricultural Research (ACIAR) and various universities in Indonesia and Japan. With a strong commitment to sustainability, the university features unique facilities like the Thai Nguyen Climate Park to promote environmental awareness and innovation.",thai-nguyen-university-of-agriculture-and-forestry,0,http://www.tuaf.edu.vn/,,"VND 15tr-30tr ($600-$1,200)",0,"The campus provides a vibrant and research-driven environment, characterized by its integration of academic rigor and environmental stewardship through the Thai Nguyen Climate Park. Students engage in cutting-edge research within specialized centers like the Institute of Biotechnology and Food Technology and participate in a diverse international community through exchange programs with institutions in Spain, Taiwan, and Japan. The university fosters a lively student culture with active scientific research clubs, entrepreneurship competitions, and multicultural festivals that celebrate the diverse backgrounds of its international student body.",8000,20,5,1,,,,,1,1,45,number_of_students=estimated; admissions_page_link=not_found; website=not_found
