id,title,description,discipline
158,Helms School of Government,"The field of Government and Public Policy focuses on the study of political systems, governance, public administration, and international relations. It equips students and researchers with a deep understanding of political theory, constitutional principles, ethical leadership, and policy-making processes. This discipline prepares individuals to engage in public service, diplomacy, law, and advocacy with a strong foundation in both practical governance and moral responsibility.",75
157,Nursing,"Nursing is a discipline within the Medical and Health Sciences that focuses on patient care, health promotion, and disease prevention. It combines clinical expertise with compassion to support individuals, families, and communities across the lifespan. Students in this field gain knowledge of medical science, healthcare systems, and practical skills in patient assessment, treatment, and recovery, preparing them to work as essential professionals in the healthcare sector.",73
156,Music,"Music is a multidimensional field that combines both art and science, focusing on the study, creation, performance, and analysis of organized sound. It is not only a discipline of melody and harmony but also a pathway to exploring the intersection of culture, history, and human emotion. Students pursuing this field are equipped with in-depth knowledge of music theory and world music history, along with practical skills such as composition, instrumental performance, or vocal training.",76
154,Engineering,"Engineering is a discipline that applies scientific and mathematical principles to design, build, and optimize systems, machines, structures, and processes. It includes diverse branches such as civil, mechanical, electrical, computer, aerospace, and chemical engineering. The field emphasizes problem-solving, innovation, and practical applications of science and technology to address real-world challenges. Engineering prepares students to become professionals who create sustainable solutions and drive technological progress across industries.",72
153,Education,"Education is a discipline that explores the theories, methods, and practices of teaching and learning. It covers areas such as curriculum development, educational psychology, instructional design, classroom management, and educational leadership. This field aims to prepare students to become effective educators, researchers, or administrators who contribute to improving learning outcomes and advancing educational systems in society.",75
152,Communication and the Arts,"Communication and the Arts is a multidisciplinary field that combines creative expression with media and communication studies. It covers a wide range of programs such as acting, theatre, musical theatre, graphic design, studio and digital arts, film production, journalism, strategic communication, and media studies. This field equips students with both artistic and professional communication skills, fostering creativity, cultural awareness, and the ability to engage audiences effectively across various platforms. Graduates are prepared for careers in the arts, media, entertainment, public relations, and other creative industries.",76
151,Aeronautics,"Aeronautics is a discipline within engineering and technology that focuses on the study, design, development, and operation of aircraft and related systems. It combines principles of physics, mathematics, and materials science with advanced engineering practices to ensure safe and efficient air transportation. Aeronautics not only contributes to innovation in aviation technology but also plays a vital role in global connectivity, defense, and space exploration.",72
150,Sciences,"Sciences is an academic field that explores the natural world, physical phenomena, and the laws that govern them. It encompasses a wide range of disciplines such as Mathematics, Physics, Chemistry, Biology, Earth Sciences, and Computer Science. Through methods of observation, experimentation, and analysis, Sciences enable humans to better understand nature, advance technology, address global challenges, and contribute to social progress.",75
148,History,"History is a discipline within the Humanities that explores past events, societies, cultures, and ideas to understand how they have shaped the present and influence the future. As a field of study, History develops critical thinking, analytical, and interpretive skills by examining evidence, narratives, and diverse perspectives. It also connects with the Social Sciences in areas such as sociology, economics, and political science, making it an interdisciplinary subject that bridges human experience across time.",76
146,Business,"Business is the study of how organizations and individuals create, manage, and sustain economic activities in a competitive environment. It covers areas such as management, finance, marketing, entrepreneurship, and operations, with a focus on decision-making, resource allocation, and innovation. Business programs prepare students to analyze markets, understand organizational behavior, and develop strategies that drive growth and sustainability in both local and global contexts.",75
