university,specialization,level,duration
Sree Gokulam Medical College Thiruvananthapuram,Nursing,AS,1 Year
Sree Gokulam Medical College Thiruvananthapuram,Nursing,MS,2 Years
Sree Gokulam Medical College Thiruvananthapuram,Nursing,BS,4 Years
ICM Poojappura,Business Administration,MS,2 Year
Embry-Riddle Aeronautical University,Uncrewed Systems,MS,2 years
Embry-Riddle Aeronautical University,Uncrewed and Autonomous Systems Engineering,MS,2 years
Embry-Riddle Aeronautical University,Uncrewed & Autonomous Systems,MS,2 years
Embry-Riddle Aeronautical University,Uncrewed & Autonomous Systems,AS,2 years
Embry-Riddle Aeronautical University,Uncrewed Aircraft Systems,BS,4 years
Embry-Riddle Aeronautical University,Uncrewed & Autonomous Systems,BS,4 years
Embry-Riddle Aeronautical University,Systems Engineering,MS,2 years
Embry-Riddle Aeronautical University,Systems Engineering,BS,4 years
Embry-Riddle Aeronautical University,Space Systems,MS,2 years
Embry-Riddle Aeronautical University,Space Physics,BS,4 years
Embry-Riddle Aeronautical University,Space Operations,MS,2 years
Embry-Riddle Aeronautical University,Space Operations,BS,4 years
Embry-Riddle Aeronautical University,Software Engineering,MS,2 years
Embry-Riddle Aeronautical University,Software Engineering,BS,4 years
Embry-Riddle Aeronautical University,"Simulation Science, Games and Animation",BS,4 years
Embry-Riddle Aeronautical University,Safety Management,MS,2 years
Embry-Riddle Aeronautical University,Safety Management,BS,4 years
Embry-Riddle Aeronautical University,Technical Management,BS,4 years
Embry-Riddle Aeronautical University,Technical Management,AS,2 years
Embry-Riddle Aeronautical University,Project Management,MS,2 years
Embry-Riddle Aeronautical University,Project Management,BS,4 years
Embry-Riddle Aeronautical University,Pilot Operations,BS,4 years
Embry-Riddle Aeronautical University,Occupational Safety Management,MS,2 years
Embry-Riddle Aeronautical University,Meteorology,BS,4 years
Embry-Riddle Aeronautical University,Mechanical Engineering,PhD,3-5 years
Embry-Riddle Aeronautical University,Mechanical Engineering,MS,2 years
Embry-Riddle Aeronautical University,Mechanical Engineering,BS,4 years
Embry-Riddle Aeronautical University,Management Information Systems,MS,2 years
Embry-Riddle Aeronautical University,Management,MS,2 years
Embry-Riddle Aeronautical University,Logistics and Supply Chain Management,MS,2 years
Embry-Riddle Aeronautical University,Logistics and Supply Chain Management,BS,4 years
Embry-Riddle Aeronautical University,Leadership,MS,2 years
Embry-Riddle Aeronautical University,Interdisciplinary Studies,BS,4 years
Embry-Riddle Aeronautical University,Industrial and Organizational Psychology,BS,4 years
